id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,original_language,release_year
1228246,Five Nights at Freddy's 2,2025-12-03,25.4372,6.668,907,"[27, 53]","One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",en,2025
519182,Despicable Me 4,2024-06-20,25.2908,6.988,3170,"[28, 16, 35, 10751, 878]","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",en,2024
671,Harry Potter and the Philosopher's Stone,2001-11-16,25.1946,7.9,29456,"[12, 14]","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",en,2001
617126,The Fantastic 4: First Steps,2025-07-23,25.1112,6.956,3270,"[878, 12, 28]","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",en,2025
1119449,"Good Luck, Have Fun, Don't Die",2025-12-25,25.095,6.9,415,"[878, 28, 35]",A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,en,2025
979,Irreversible,2002-05-22,25.0698,7.181,3261,"[18, 53, 80]",A woman’s lover and her ex-boyfriend take justice into their own hands after she becomes the victim of a rapist. Because some acts can’t be undone. Because man is an animal. Because the desire for vengeance is a natural impulse. Because most crimes remain unpunished.,fr,2002
1049471,Outcome,2026-04-06,25.0641,5.34,166,"[35, 18]","Reef Hawk, Hollywood's poster child since age six, is not okay. When he learns about an extortion plot tied to a mysterious video, Reef preemptively sets out on a redemption tour to make amends, confront his demons, and avoid getting canceled.",en,2026
346698,Barbie,2023-07-19,24.726,6.926,11026,"[35, 12, 14]","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",en,2023
567609,Ready or Not,2019-08-21,24.6892,7.1,5344,"[27, 35]",A young bride's wedding night turns into her worst nightmare when her ridiculously rich in-laws force her to play a gruesome game of hide-and-seek.,en,2019
808,Shrek,2001-05-18,24.6756,7.759,18645,"[16, 35, 14, 12, 10751]","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",en,2001
10138,Iron Man 2,2010-04-28,24.6472,6.851,22298,"[12, 28, 878]","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",en,2010
1156594,Our Fault,2025-10-15,24.4164,7.352,648,"[10749, 18]","Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",es,2025
1054867,One Battle After Another,2025-09-23,24.3852,7.365,3598,"[53, 80, 35]","Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",en,2025
1408208,Exit 8,2025-08-28,24.3841,6.653,349,"[27, 9648]","A man trapped in an endless sterile subway passageway sets out to find Exit 8. The rules of his quest are simple: do not overlook anything out of the ordinary. If you discover an anomaly, turn back immediately. If you don’t, carry on. Then leave from Exit 8. But even a single oversight will send him back to the beginning. Will he ever reach his goal and escape this infinite corridor?",ja,2025
569094,Spider-Man: Across the Spider-Verse,2023-05-31,24.3378,8.331,8516,"[16, 28, 12, 878]","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",en,2023
106646,The Wolf of Wall Street,2013-12-25,23.9856,8.027,25821,"[80, 18, 35]","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",en,2013
